datetime,symbol,open,high,low,close,volume
2021-05-12 20:30:00,NASDAQ:ON,37.4,37.6963,35.3432,35.67,12062642.0
2021-05-13 20:30:00,NASDAQ:ON,36.09,37.1,35.67,36.52,7666634.0
2021-05-14 20:30:00,NASDAQ:ON,36.92,37.995,36.67,37.45,6513797.0
2021-05-17 20:30:00,NASDAQ:ON,36.97,37.09,36.03,36.74,4972226.0
2021-05-18 20:30:00,NASDAQ:ON,37.16,37.33,36.66,36.69,3407885.0
2021-05-19 20:30:00,NASDAQ:ON,35.8619,37.62,35.65,37.46,6779516.0
2021-05-20 20:30:00,NASDAQ:ON,37.66,38.725,37.59,38.53,6788139.0
2021-05-21 20:30:00,NASDAQ:ON,38.7753,39.07,38.17,38.22,3513797.0
2021-05-24 20:30:00,NASDAQ:ON,38.57,39.495,38.45,39.34,4009114.0
2021-05-25 20:30:00,NASDAQ:ON,39.65,40.26,38.775,38.94,5168950.0
2021-05-26 20:30:00,NASDAQ:ON,39.2,39.5,38.66,39.0,3899444.0
2021-05-27 20:30:00,NASDAQ:ON,39.0,40.33,38.9,40.27,8160197.0
2021-05-28 20:30:00,NASDAQ:ON,40.4,40.525,39.84,40.04,5287188.0
2021-06-01 20:30:00,NASDAQ:ON,40.48,40.79,39.56,39.91,3615820.0
2021-06-02 20:30:00,NASDAQ:ON,39.8,39.84,39.23,39.39,3819264.0
2021-06-03 20:30:00,NASDAQ:ON,38.685,38.97,37.68,37.74,5372534.0
2021-06-04 20:30:00,NASDAQ:ON,38.17,38.515,37.96,38.21,5550120.0
2021-06-07 20:30:00,NASDAQ:ON,38.16,38.2,37.635,37.97,3493633.0
2021-06-08 20:30:00,NASDAQ:ON,38.34,38.49,37.05,37.59,3972365.0
2021-06-09 20:30:00,NASDAQ:ON,37.8,37.84,37.21,37.24,4355127.0
2021-06-10 20:30:00,NASDAQ:ON,37.28,38.255,37.215,37.77,6965694.0
2021-06-11 20:30:00,NASDAQ:ON,38.11,38.28,37.495,37.78,4232072.0
2021-06-14 20:30:00,NASDAQ:ON,37.86,38.58,37.47,38.32,8941891.0
2021-06-15 20:30:00,NASDAQ:ON,38.05,38.52,37.4,37.44,5318397.0
2021-06-16 20:30:00,NASDAQ:ON,37.56,37.92,36.885,37.29,4949281.0
2021-06-17 20:30:00,NASDAQ:ON,37.16,37.545,36.16,37.0,4238768.0
2021-06-18 20:30:00,NASDAQ:ON,36.35,36.47,35.17,35.78,8732060.0
2021-06-21 20:30:00,NASDAQ:ON,35.92,36.74,35.745,36.49,5839963.0
2021-06-22 20:30:00,NASDAQ:ON,36.43,36.91,35.97,36.84,5144309.0
2021-06-23 20:30:00,NASDAQ:ON,36.81,37.33,36.7,36.9,4975627.0
2021-06-24 20:30:00,NASDAQ:ON,37.14,37.835,37.14,37.76,3463005.0
2021-06-25 20:30:00,NASDAQ:ON,38.0,38.2,37.18,37.51,8988114.0
2021-06-28 20:30:00,NASDAQ:ON,37.86,38.76,37.6316,38.66,3916477.0
2021-06-29 20:30:00,NASDAQ:ON,38.65,38.96,38.44,38.76,3879763.0
2021-06-30 20:30:00,NASDAQ:ON,38.7,38.7426,37.95,38.28,4814225.0
2021-07-01 20:30:00,NASDAQ:ON,38.4,38.66,37.765,37.91,3678578.0
2021-07-02 20:30:00,NASDAQ:ON,38.27,38.46,37.96,38.4,3410072.0
2021-07-06 20:30:00,NASDAQ:ON,38.42,38.655,37.65,38.23,4612823.0
2021-07-07 20:30:00,NASDAQ:ON,38.56,38.56,36.97,37.07,3655537.0
2021-07-08 20:30:00,NASDAQ:ON,35.93,37.07,35.59,36.72,4988160.0
2021-07-09 20:30:00,NASDAQ:ON,37.11,37.855,36.56,37.75,2892447.0
2021-07-12 20:30:00,NASDAQ:ON,37.89,38.46,37.66,38.44,4250235.0
2021-07-13 20:30:00,NASDAQ:ON,38.31,38.3599,37.85,37.92,2840971.0
2021-07-14 20:30:00,NASDAQ:ON,38.42,39.1,37.6,37.66,3711669.0
2021-07-15 20:30:00,NASDAQ:ON,37.355,37.47,35.665,36.3,7195401.0
2021-07-16 20:30:00,NASDAQ:ON,36.79,36.79,35.055,35.15,5537717.0
2021-07-19 20:30:00,NASDAQ:ON,34.56,35.0499,34.01,34.79,5578112.0
2021-07-20 20:30:00,NASDAQ:ON,34.88,35.935,34.37,35.51,7289047.0
2021-07-21 20:30:00,NASDAQ:ON,35.92,37.035,35.8628,36.87,7055793.0
2021-07-22 20:30:00,NASDAQ:ON,36.39,36.59,35.77,35.87,3397249.0
2021-07-23 20:30:00,NASDAQ:ON,36.3,36.45,35.555,36.35,3666674.0
2021-07-26 20:30:00,NASDAQ:ON,36.0,36.755,35.99,36.69,3783054.0
2021-07-27 20:30:00,NASDAQ:ON,36.31,36.46,34.81,35.82,4434377.0
2021-07-28 20:30:00,NASDAQ:ON,36.08,37.37,35.97,37.06,5288184.0
2021-07-29 20:30:00,NASDAQ:ON,37.47,38.89,37.41,38.61,7263047.0
2021-07-30 20:30:00,NASDAQ:ON,38.0,39.47,38.0,39.06,7539990.0
2021-08-02 20:30:00,NASDAQ:ON,42.9347,45.179,42.29,43.64,17480179.0
2021-08-03 20:30:00,NASDAQ:ON,43.87,45.42,43.65,45.38,13185550.0
2021-08-04 20:30:00,NASDAQ:ON,45.25,46.29,45.25,45.67,7843404.0
2021-08-05 20:30:00,NASDAQ:ON,45.82,46.01,44.345,44.82,10222181.0
2021-08-06 20:30:00,NASDAQ:ON,45.23,45.6,44.49,45.28,6067452.0
2021-08-09 20:30:00,NASDAQ:ON,45.34,45.58,44.57,45.41,4751075.0
2021-08-10 20:30:00,NASDAQ:ON,45.42,45.5,44.1336,44.39,5634027.0
2021-08-11 20:30:00,NASDAQ:ON,44.31,44.84,43.86,44.79,3936850.0
2021-08-12 20:30:00,NASDAQ:ON,44.5,44.5,43.23,43.4,7309221.0
2021-08-13 20:30:00,NASDAQ:ON,43.26,43.53,42.86,43.45,6034407.0
2021-08-16 20:30:00,NASDAQ:ON,43.2,43.48,42.63,43.41,4012380.0
2021-08-17 20:30:00,NASDAQ:ON,42.98,42.98,41.35,41.98,5589317.0
2021-08-18 20:30:00,NASDAQ:ON,41.69,42.93,41.405,41.75,6442326.0
2021-08-19 20:30:00,NASDAQ:ON,41.25,41.8,40.85,40.98,7146900.0
2021-08-20 20:30:00,NASDAQ:ON,41.08,42.015,41.08,41.5,5450655.0
2021-08-23 20:30:00,NASDAQ:ON,42.16,42.87,41.76,42.43,4309507.0
2021-08-24 20:30:00,NASDAQ:ON,42.74,43.95,42.7,43.6,5570087.0
2021-08-25 20:30:00,NASDAQ:ON,43.71,44.18,43.362,43.51,5358233.0
2021-08-26 20:30:00,NASDAQ:ON,43.53,44.72,43.42,44.03,6355636.0
2021-08-27 20:30:00,NASDAQ:ON,43.9,45.75,43.9,45.5,5598915.0
2021-08-30 20:30:00,NASDAQ:ON,45.92,45.97,45.0,45.27,3469913.0
2021-08-31 20:30:00,NASDAQ:ON,45.23,45.29,43.92,44.36,6976229.0
2021-09-01 20:30:00,NASDAQ:ON,44.62,45.26,44.24,44.68,4716543.0
2021-09-02 20:30:00,NASDAQ:ON,44.86,45.49,44.455,45.4,3459832.0
2021-09-03 20:30:00,NASDAQ:ON,45.4,46.4,45.22,45.71,3663593.0
2021-09-07 20:30:00,NASDAQ:ON,45.8,45.89,45.09,45.66,4128910.0
2021-09-08 20:30:00,NASDAQ:ON,45.07,45.42,44.41,44.85,3559291.0
2021-09-09 20:30:00,NASDAQ:ON,45.0,45.78,44.81,45.24,2976589.0
2021-09-10 20:30:00,NASDAQ:ON,46.4,47.5871,46.06,46.89,6946815.0
2021-09-13 20:30:00,NASDAQ:ON,47.33,47.75,46.58,47.64,5018198.0
2021-09-14 20:30:00,NASDAQ:ON,48.05,48.46,47.27,47.85,5553444.0
2021-09-15 20:30:00,NASDAQ:ON,48.24,49.23,47.5688,49.21,5534041.0
2021-09-16 20:30:00,NASDAQ:ON,48.93,49.71,48.375,49.4,5785625.0
2021-09-17 20:30:00,NASDAQ:ON,49.29,49.4,48.0901,48.89,7267963.0
2021-09-20 20:30:00,NASDAQ:ON,47.31,47.68,46.76,47.67,5472615.0
2021-09-21 20:30:00,NASDAQ:ON,48.18,48.18,46.94,47.68,4289659.0
2021-09-22 20:30:00,NASDAQ:ON,48.0834,48.785,47.78,48.6,3825974.0
2021-09-23 20:30:00,NASDAQ:ON,48.745,49.78,48.5,49.36,3799981.0
2021-09-24 20:30:00,NASDAQ:ON,49.0,49.65,48.8714,49.29,3434543.0
2021-09-27 20:30:00,NASDAQ:ON,48.5679,49.73,48.5106,49.48,5005180.0
2021-09-28 20:30:00,NASDAQ:ON,48.34,48.46,46.96,47.33,7465198.0
2021-09-29 20:30:00,NASDAQ:ON,46.75,47.18,45.16,45.84,8159082.0
2021-09-30 20:30:00,NASDAQ:ON,46.235,46.77,45.68,45.77,4908915.0
2021-10-01 20:30:00,NASDAQ:ON,45.88,46.42,45.45,45.61,6209089.0
2021-10-04 20:30:00,NASDAQ:ON,45.31,45.6,44.65,44.89,4666714.0
2021-10-05 20:30:00,NASDAQ:ON,45.5,46.19,45.0,45.64,5068487.0
2021-10-06 20:30:00,NASDAQ:ON,44.775,45.4,44.355,44.7,3735710.0
2021-10-07 20:30:00,NASDAQ:ON,45.22,46.4,45.22,45.39,4553187.0
2021-10-08 20:30:00,NASDAQ:ON,45.68,45.76,44.421,44.48,3279486.0
2021-10-11 20:30:00,NASDAQ:ON,44.04,44.85,43.34,43.35,4143537.0
2021-10-12 20:30:00,NASDAQ:ON,43.76,43.85,42.06,42.35,6726220.0
2021-10-13 20:30:00,NASDAQ:ON,42.36,42.87,41.88,41.9,4630825.0
2021-10-14 20:30:00,NASDAQ:ON,42.6,43.18,42.515,43.01,6319791.0
2021-10-15 20:30:00,NASDAQ:ON,43.215,43.76,43.07,43.33,3750483.0
2021-10-18 20:30:00,NASDAQ:ON,43.1,44.22,43.0,44.16,4047133.0
2021-10-19 20:30:00,NASDAQ:ON,44.25,45.155,43.9,44.95,4420497.0
2021-10-20 20:30:00,NASDAQ:ON,44.9,45.93,44.9,45.56,4768357.0
2021-10-21 20:30:00,NASDAQ:ON,45.2356,46.37,45.2356,46.32,2759733.0
2021-10-22 20:30:00,NASDAQ:ON,46.35,46.865,45.89,45.97,3076427.0
2021-10-25 20:30:00,NASDAQ:ON,46.24,46.61,45.91,46.22,1930233.0
2021-10-26 20:30:00,NASDAQ:ON,46.82,46.82,45.05,45.14,3192772.0
2021-10-27 20:30:00,NASDAQ:ON,44.09,45.485,43.745,44.55,5390150.0
2021-10-28 20:30:00,NASDAQ:ON,45.67,47.57,45.36,47.1,7547711.0
2021-10-29 20:30:00,NASDAQ:ON,46.25,48.22,46.21,48.07,10021116.0
2021-11-01 20:30:00,NASDAQ:ON,53.75,55.57,51.33,54.99,23265155.0
2021-11-02 20:30:00,NASDAQ:ON,55.98,57.24,55.27,57.14,11103581.0
2021-11-03 20:30:00,NASDAQ:ON,57.375,58.5599,56.97,57.85,7836905.0
2021-11-04 20:30:00,NASDAQ:ON,58.27,59.9,57.54,59.86,9286686.0
2021-11-05 20:30:00,NASDAQ:ON,60.0,61.5199,58.24,59.13,7269884.0
2021-11-08 21:30:00,NASDAQ:ON,59.95,60.155,58.6,58.72,6016501.0
2021-11-09 21:30:00,NASDAQ:ON,58.91,59.1,57.39,58.2,4864694.0
2021-11-10 21:30:00,NASDAQ:ON,56.85,57.85,56.12,56.82,5782103.0
2021-11-11 21:30:00,NASDAQ:ON,57.92,59.24,57.565,58.2,4802795.0
2021-11-12 21:30:00,NASDAQ:ON,58.73,59.15,58.03,58.6,3038545.0
2021-11-15 21:30:00,NASDAQ:ON,59.6,60.37,58.44,59.2,4991645.0
2021-11-16 21:30:00,NASDAQ:ON,58.88,62.3,58.62,62.13,6342938.0
2021-11-17 21:30:00,NASDAQ:ON,62.15,62.56,61.265,62.4,7173470.0
2021-11-18 21:30:00,NASDAQ:ON,63.48,63.96,62.314,63.46,5479032.0
2021-11-19 21:30:00,NASDAQ:ON,63.1,63.9249,62.22,63.34,5342191.0
2021-11-22 21:30:00,NASDAQ:ON,64.04,64.04,61.36,61.71,5679854.0
2021-11-23 21:30:00,NASDAQ:ON,61.69,61.9904,60.525,61.54,6360626.0
2021-11-24 21:30:00,NASDAQ:ON,60.65,62.54,59.61,62.37,4098222.0
2021-11-26 21:30:00,NASDAQ:ON,60.43,61.07,59.145,60.3,4053657.0
2021-11-29 21:30:00,NASDAQ:ON,61.23,63.18,61.23,63.02,5530009.0
2021-11-30 21:30:00,NASDAQ:ON,62.64,63.9,61.0,61.43,5595923.0
2021-12-01 21:30:00,NASDAQ:ON,63.0506,65.47,61.63,61.7,8038833.0
2021-12-02 21:30:00,NASDAQ:ON,60.16,62.94,60.0,62.54,6614005.0
2021-12-03 21:30:00,NASDAQ:ON,64.465,65.99,62.62,64.05,9888044.0
2021-12-06 21:30:00,NASDAQ:ON,64.05,64.05,59.54,61.92,8607826.0
2021-12-07 21:30:00,NASDAQ:ON,63.58,66.785,63.17,65.45,8040897.0
2021-12-08 21:30:00,NASDAQ:ON,64.64,64.8,63.22,64.24,5308911.0
2021-12-09 21:30:00,NASDAQ:ON,64.11,65.25,62.87,63.3,5605522.0
2021-12-10 21:30:00,NASDAQ:ON,64.45,65.45,63.71,65.26,5139535.0
2021-12-13 21:30:00,NASDAQ:ON,65.59,65.9087,62.55,62.58,5783346.0
2021-12-14 21:30:00,NASDAQ:ON,61.6,63.13,61.21,62.98,4614168.0
2021-12-15 21:30:00,NASDAQ:ON,63.59,65.42,61.4479,65.28,7392808.0
2021-12-16 21:30:00,NASDAQ:ON,65.45,65.88,59.91,60.84,9498330.0
2021-12-17 21:30:00,NASDAQ:ON,60.1986,62.56,59.93,61.99,8965412.0
2021-12-20 21:30:00,NASDAQ:ON,60.64,61.3881,59.95,60.94,5998409.0
2021-12-21 21:30:00,NASDAQ:ON,62.34,64.9,62.34,64.79,9973504.0
2021-12-22 21:30:00,NASDAQ:ON,64.4,65.55,63.64,65.53,3839253.0
2021-12-23 21:30:00,NASDAQ:ON,65.96,67.27,65.5,66.76,7613267.0
2021-12-27 21:30:00,NASDAQ:ON,67.16,69.84,67.16,69.78,6981760.0
2021-12-28 21:30:00,NASDAQ:ON,69.91,70.27,68.15,68.32,4216222.0
2021-12-29 21:30:00,NASDAQ:ON,68.355,69.445,68.291,68.93,2573140.0
2021-12-30 21:30:00,NASDAQ:ON,68.85,69.13,67.44,67.61,2506623.0
2021-12-31 21:30:00,NASDAQ:ON,67.78,68.66,67.78,67.92,2489651.0
2022-01-03 21:30:00,NASDAQ:ON,68.53,70.33,67.77,70.17,7054518.0
2022-01-04 21:30:00,NASDAQ:ON,70.548,71.255,67.33,70.95,7792088.0
2022-01-05 21:30:00,NASDAQ:ON,69.662,70.6,66.97,67.42,7227192.0
2022-01-06 21:30:00,NASDAQ:ON,67.42,68.56,65.9,67.25,5442742.0
2022-01-07 21:30:00,NASDAQ:ON,67.5,68.48,64.18,64.56,6794388.0
2022-01-10 21:30:00,NASDAQ:ON,63.011,65.21,61.67,65.12,6096450.0
2022-01-11 21:30:00,NASDAQ:ON,65.066,66.18,64.5,65.93,4907886.0
2022-01-12 21:30:00,NASDAQ:ON,66.86,68.02,65.97,66.49,5361644.0
2022-01-13 21:30:00,NASDAQ:ON,67.52,68.2,64.47,64.64,6707910.0
2022-01-14 21:30:00,NASDAQ:ON,63.832,66.27,63.62,66.2,5890487.0
2022-01-18 21:30:00,NASDAQ:ON,64.06,65.1,62.87,63.03,6499105.0
2022-01-19 21:30:00,NASDAQ:ON,63.415,63.61,58.89,59.01,8193110.0
2022-01-20 21:30:00,NASDAQ:ON,59.43,59.7817,55.41,55.54,8818797.0
2022-01-21 21:30:00,NASDAQ:ON,55.2,57.58,54.6,54.73,8791146.0
2022-01-24 21:30:00,NASDAQ:ON,53.145,55.47,51.02,55.34,10171346.0
2022-01-25 21:30:00,NASDAQ:ON,53.27,55.415,52.97,53.32,8274157.0
2022-01-26 21:30:00,NASDAQ:ON,56.0577,58.6204,54.74,55.76,11956482.0
2022-01-27 21:30:00,NASDAQ:ON,56.4,58.0,53.06,53.67,8621848.0
2022-01-28 21:30:00,NASDAQ:ON,53.12,54.22,51.26,53.76,9879559.0
2022-01-31 21:30:00,NASDAQ:ON,54.97,59.02,54.6,59.0,9784484.0
2022-02-01 21:30:00,NASDAQ:ON,59.33,59.74,57.75,59.65,5488640.0
2022-02-02 21:30:00,NASDAQ:ON,60.6,61.33,59.2,61.08,7742575.0
2022-02-03 21:30:00,NASDAQ:ON,58.76,59.56,56.15,56.21,7940055.0
2022-02-04 21:30:00,NASDAQ:ON,56.43,57.8955,55.25,57.42,10143966.0
2022-02-07 21:30:00,NASDAQ:ON,59.875,64.22,59.31,62.26,20500359.0
2022-02-08 21:30:00,NASDAQ:ON,62.125,66.66,61.62,65.97,11581728.0
2022-02-09 21:30:00,NASDAQ:ON,66.27,67.13,64.63,67.08,9830493.0
2022-02-10 21:30:00,NASDAQ:ON,65.595,67.01,62.97,63.42,9463384.0
2022-02-11 21:30:00,NASDAQ:ON,63.43,63.72,58.31,58.97,12377872.0
2022-02-14 21:30:00,NASDAQ:ON,59.3,60.7,57.86,58.66,6847597.0
2022-02-15 21:30:00,NASDAQ:ON,59.89,62.33,59.89,62.24,6390252.0
2022-02-16 21:30:00,NASDAQ:ON,61.37,63.8,60.86,63.11,4197485.0
2022-02-17 21:30:00,NASDAQ:ON,61.79,61.99,59.981,60.19,6399755.0
2022-02-18 21:30:00,NASDAQ:ON,60.36,61.26,59.21,60.2,4596013.0
2022-02-22 21:30:00,NASDAQ:ON,58.8054,60.88,57.35,58.44,7242746.0
2022-02-23 21:30:00,NASDAQ:ON,59.48,61.13,57.5525,57.75,6119209.0
2022-02-24 21:30:00,NASDAQ:ON,54.88,61.29,54.47,61.08,7450289.0
2022-02-25 21:30:00,NASDAQ:ON,61.0,63.56,60.03,63.5,6917475.0
2022-02-28 21:30:00,NASDAQ:ON,61.82,63.115,61.03,62.61,6776993.0
2022-03-01 21:30:00,NASDAQ:ON,62.51,63.42,58.91,59.65,7336857.0
2022-03-02 21:30:00,NASDAQ:ON,60.545,63.33,60.33,62.87,6254233.0
2022-03-03 21:30:00,NASDAQ:ON,62.29,63.3,61.1705,61.51,5651920.0
2022-03-04 21:30:00,NASDAQ:ON,60.182,61.01,57.27,58.33,6569563.0
2022-03-07 21:30:00,NASDAQ:ON,58.1,58.89,53.5,53.52,10019277.0
2022-03-08 21:30:00,NASDAQ:ON,54.26,58.43,53.01,55.79,7527111.0
2022-03-09 21:30:00,NASDAQ:ON,58.38,58.94,57.14,58.43,5593527.0
2022-03-10 21:30:00,NASDAQ:ON,57.07,58.0028,55.995,57.63,2999149.0
2022-03-11 21:30:00,NASDAQ:ON,58.39,58.7,55.81,55.89,4233179.0
2022-03-14 20:30:00,NASDAQ:ON,55.4,56.215,53.28,53.91,6042896.0
2022-03-15 20:30:00,NASDAQ:ON,53.62,56.82,53.15,56.66,5979379.0
2022-03-16 20:30:00,NASDAQ:ON,57.77,60.66,57.31,60.11,6352412.0
2022-03-17 20:30:00,NASDAQ:ON,59.31,60.79,58.5,60.76,4880641.0
2022-03-18 20:30:00,NASDAQ:ON,60.02,62.36,59.71,61.93,10766091.0
2022-03-21 20:30:00,NASDAQ:ON,61.13,62.7217,60.66,61.93,4694327.0
2022-03-22 20:30:00,NASDAQ:ON,61.68,63.31,60.93,62.18,5471654.0
2022-03-23 20:30:00,NASDAQ:ON,61.9,62.251,60.08,60.39,4109046.0
2022-03-24 20:30:00,NASDAQ:ON,61.19,63.765,60.44,63.58,7553427.0
2022-03-25 20:30:00,NASDAQ:ON,63.6,63.95,61.7301,63.81,6190426.0
2022-03-28 20:30:00,NASDAQ:ON,63.67,65.4,62.955,65.32,6483023.0
2022-03-29 20:30:00,NASDAQ:ON,67.15,68.7,65.72,67.36,7137172.0
2022-03-30 20:30:00,NASDAQ:ON,67.1765,67.18,64.05,64.43,5658271.0
2022-03-31 20:30:00,NASDAQ:ON,64.385,65.38,62.53,62.61,6176415.0
2022-04-01 20:30:00,NASDAQ:ON,63.17,63.31,58.51,59.63,7009326.0
2022-04-04 20:30:00,NASDAQ:ON,60.03,60.7,58.63,59.59,7773759.0
2022-04-05 20:30:00,NASDAQ:ON,59.0,59.25,55.57,55.7,9531591.0
2022-04-06 20:30:00,NASDAQ:ON,54.53,54.98,53.01,53.7,8652679.0
2022-04-07 20:30:00,NASDAQ:ON,54.07,55.145,52.7,54.09,5857232.0
2022-04-08 20:30:00,NASDAQ:ON,53.44,54.0,52.15,52.73,5967081.0
2022-04-11 20:30:00,NASDAQ:ON,51.776,53.98,51.55,52.33,6789238.0
2022-04-12 20:30:00,NASDAQ:ON,54.0,55.04,52.805,53.14,6967202.0
2022-04-13 20:30:00,NASDAQ:ON,53.45,54.859,52.8,54.25,4001195.0
2022-04-14 20:30:00,NASDAQ:ON,54.33,54.515,53.24,53.26,3942648.0
2022-04-18 20:30:00,NASDAQ:ON,52.96,55.43,52.83,54.57,4539012.0
2022-04-19 20:30:00,NASDAQ:ON,54.87,56.445,54.575,56.38,4454139.0
2022-04-20 20:30:00,NASDAQ:ON,57.05,57.695,55.33,55.4,4904443.0
2022-04-21 20:30:00,NASDAQ:ON,56.46,57.47,52.85,53.26,6365979.0
2022-04-22 20:30:00,NASDAQ:ON,53.2,53.63,51.56,51.78,5455834.0
2022-04-25 20:30:00,NASDAQ:ON,51.45,53.53,51.0737,53.48,4328645.0
2022-04-26 20:30:00,NASDAQ:ON,52.86,53.27,51.3,51.36,4327864.0
2022-04-27 20:30:00,NASDAQ:ON,50.835,52.82,50.6,51.21,4782411.0
2022-04-28 20:30:00,NASDAQ:ON,52.5,54.99,51.6,54.48,6440886.0
2022-04-29 20:30:00,NASDAQ:ON,53.61,55.225,51.97,52.11,6886271.0
2022-05-02 20:30:00,NASDAQ:ON,53.87,55.799,52.25,55.62,11364115.0
2022-05-03 20:30:00,NASDAQ:ON,55.62,57.275,54.92,56.51,6933289.0
2022-05-04 20:30:00,NASDAQ:ON,57.0,58.93,54.8112,58.92,6496376.0
2022-05-05 20:30:00,NASDAQ:ON,57.8,57.91,54.35,55.23,8606294.0
2022-05-06 20:30:00,NASDAQ:ON,55.25,56.04,53.04,55.13,5843470.0
2022-05-09 20:30:00,NASDAQ:ON,53.55,54.6,50.57,50.82,7720547.0
2022-05-10 20:30:00,NASDAQ:ON,52.1,54.92,51.41,53.87,10675646.0
2022-05-11 20:30:00,NASDAQ:ON,52.87,55.35,51.64,51.77,6716205.0
2022-05-12 20:30:00,NASDAQ:ON,52.0,53.45,50.94,52.98,5759820.0
2022-05-13 20:30:00,NASDAQ:ON,54.35,56.62,54.1,56.18,6291183.0
2022-05-16 20:30:00,NASDAQ:ON,55.19,56.21,54.67,55.15,3797983.0
2022-05-17 20:30:00,NASDAQ:ON,56.68,58.67,56.58,58.5,5976622.0
2022-05-18 20:30:00,NASDAQ:ON,57.32,59.0749,55.33,55.83,6296749.0
2022-05-19 20:30:00,NASDAQ:ON,55.2,57.33,54.97,56.07,4941887.0
2022-05-20 20:30:00,NASDAQ:ON,57.54,57.65,53.85,56.46,6272139.0
2022-05-23 20:30:00,NASDAQ:ON,56.36,56.88,54.519,55.89,4018706.0
2022-05-24 20:30:00,NASDAQ:ON,54.78,55.32,53.56,54.5,4998823.0
2022-05-25 20:30:00,NASDAQ:ON,53.84,56.91,53.77,56.24,4124930.0
2022-05-26 20:30:00,NASDAQ:ON,55.65,59.54,55.5,59.33,5348730.0
2022-05-27 20:30:00,NASDAQ:ON,59.908,61.17,59.85,61.14,6779222.0
2022-05-31 20:30:00,NASDAQ:ON,60.97,61.84,59.43,60.68,7175012.0
2022-06-01 20:30:00,NASDAQ:ON,61.23,61.7,58.29,59.27,5488444.0
2022-06-02 20:30:00,NASDAQ:ON,59.01,63.85,58.897,63.59,9046137.0
2022-06-03 20:30:00,NASDAQ:ON,61.94,63.14,60.905,62.94,7173329.0
2022-06-06 20:30:00,NASDAQ:ON,67.16,67.185,64.08,66.01,21894799.0
2022-06-07 20:30:00,NASDAQ:ON,65.0,65.78,64.41,65.48,8354904.0
2022-06-08 20:30:00,NASDAQ:ON,64.95,65.78,63.64,63.81,8190782.0
2022-06-09 20:30:00,NASDAQ:ON,63.15,64.81,62.61,62.66,9903192.0
2022-06-10 20:30:00,NASDAQ:ON,60.35,62.02,59.65,60.14,9227952.0
2022-06-13 20:30:00,NASDAQ:ON,57.73,58.53,55.37,56.07,10050801.0
2022-06-14 20:30:00,NASDAQ:ON,56.55,57.39,55.9,56.65,7494574.0
2022-06-15 20:30:00,NASDAQ:ON,57.14,59.0,56.37,58.04,9288739.0
2022-06-16 20:30:00,NASDAQ:ON,56.22,56.3402,52.0,53.46,17643439.0
2022-06-17 20:30:00,NASDAQ:ON,53.78,54.015,50.885,52.46,93180905.0
2022-06-21 20:30:00,NASDAQ:ON,53.23,53.965,51.86,51.95,11186919.0
2022-06-22 20:30:00,NASDAQ:ON,50.905,52.05,49.8,51.01,9495362.0
